"node","cycles","workers","success","errors","time_limit","time","TPS","get_transaction","get_global_properties","get_block","get_accounts","get_chain_properties","get_dynamic_global_properties","get_chain_id","get_config"
"ws://hawking.array.io:8090","1","10","8","0","20","2.0378811359405518","3.925646034457121","2.4358604329947973","2.4771941901561076","3.1885606691927095","4.765584481905981","68.41732423764489","68.50561913300193","68.75514258976287","68.95592660912386"
"ws://hawking.array.io:8090","1","2","8","0","20","0.6499917507171631","12.307848509113024","8.00421676118555","36.99998862912346","45.493519884178454","7.400643298170426","7.005597038877027","7.149346926543771","14.780562256832889","38.50076093172229"
"ws://hawking.array.io:8090","10","2","80","0","20","2.0855443477630615","38.35928978724781","0.47468996047973633","0.5105891227722168","0.4780099391937256","0.6611568927764893","0.46486520767211914","0.704378604888916","0.4673154354095459","0.1945185661315918"
"ws://hawking.array.io:8090","10","2","80","0","20","2.727567195892334","29.330166501664387","0.5110032558441162","0.4764273166656494","0.4771006107330322","0.6769237518310547","0.4614865779876709","0.7041676044464111","0.484708309173584","0.19448065757751465"
"ws://hawking.array.io:8090","10","2","80","0","20","2.1193899669997336","37.74671072603509","0.47941035199619364","0.5137076160099241","0.4798129979935766","0.6507358439885138","0.48732450600437005","0.7105723560052866","0.46878488500078674","0.1967114200051583"
"ws://hawking.array.io:8090","10","2","80","0","20","2.6368146050008363","30.339637776685716","17.9488000070097","19.48012727276319","18.03844703731884","24.78629175370084","17.738184403120137","26.455165398394072","17.96277205439301","7.418181908782702"
"ws://hawking.array.io:8090","10","10","80","0","20","1.036406026003533","77.1898252159789","46.21222184950804","46.61302808723596","49.354826213688504","56.01141313655641","151.4637870311093","157.97567284807243","144.11854413572092","209.42968050492695"
"ws://hawking.array.io:8090","100","10","800","0","20","5.576572613994358","143.4572909518666","106.5227088788837","141.09264719701352","157.33123998026946","121.54264228591687","98.39164226406544","96.64321431943202","110.13440256466649","98.7718238291942"
"ws://hawking.array.io:8090","100","10","800","0","20","4.114277587999823","194.44482849999534","116.72672653414882","117.6181743573549","126.27370589077701","27.04883229673319","124.73288460085423","158.8785666544085","142.49014130936345","149.14941696935344"
"ws://hawking.array.io:8090","100","10","800","0","20","3.9599075739997716","202.024917261376","120.63550824692351","130.03235299761317","120.98869785380047","30.19544640005931","137.8548752461416","136.9057608716613","139.11452070676341","146.5325784899216"
"ws://hawking.array.io:8090","100","10","800","0","20","4.543119509000007","176.09045908107515","13.22180919171169","12.619393510959398","14.652803368666827","3.798012068364471","13.283935481883974","14.754236651287517","13.255487484243075","14.414322242883047"
