"node","cycles","workers","success","errors","time_limit","time","TPS"
"ws://hawking.array.io:8090","100","10","800","0","20","13.962287664413452","57.29720080463674"
"ws://hawking.array.io:8090","1","1","8","0","20","3.498361587524414","2.2867847704848407"
"ws://hawking.array.io:8090","1","1","8","0","20","1.3902583122253418","5.754326321699639"
"ws://hawking.array.io:8090","100","6","800","0","20","33.213051080703735","24.08691685855948"
"ws://hawking.array.io:8090","1","1","8","0","20","0.9134807586669922","8.757710465269238"
"ws://hawking.array.io:8090","1","2","0","0","20","0.5313665866851807","0.0"
"ws://hawking.array.io:8090","1","2","8","0","20","0.5459587574005127","14.653121488682778"
"ws://hawking.array.io:8090","1","2","8","0","20","0.5554168224334717","14.403596860731108"
"ws://hawking.array.io:8090","1","2","8","0","20","1.0959272384643555","7.299754691022945"
"ws://hawking.array.io:8090","1","2","8","0","20","0.5436646938323975","14.714952232057694"
"ws://hawking.array.io:8090","100","6","800","0","20","6.540220022201538","122.3200438646264"
"ws://hawking.array.io:8090","1000","6","8000","0","20","57.676557540893555","138.7045333683079"
"ws://hawking.array.io:8090","1000","8","8000","0","20","44.04444146156311","181.63472471279886"
"ws://hawking.array.io:8090","1000","10","8000","0","20","35.40837574005127","225.93524364776232"
